순위,업소명,주소,분류,현지인 검색 수
287,파이브퍼센트,대전 동구 동대전로110번길 177-0,카페/찻집,520
288,한가네추어탕,대전 동구 동대전로256번길 71-0,한식,519
288,그린브라우니신탄진점,대전 대덕구 대청로 152-0,간이음식,519
290,초가랑,대전 대덕구 대청호수로1326번길 70-29,한식,517
291,필짬뽕,대전 대덕구 한남로137번길 43-0,외국식,515
291,예지원[한식],대전 중구 중앙로16번길 27-17,한식,515
293,황토우렁이마을,대전 중구 대둔산로 454-0,한식,514
294,한마음정육식당중촌점,대전 중구 어덕마을로 146-0,한식,507
295,요우란[일식],대전 중구 선화서로 34-0,외국식,499
296,할머니추어탕,대전 중구 대흥로 138-0,한식,498
297,용전한우마을,대전 동구 한밭대로 1273-0,한식,497
298,목구멍대전오류점,대전 중구 계룡로882번길 58-0,한식,496
299,백조한우마을본점,대전 중구 중촌로24번길 5-0,한식,495
300,신화수산활어회센타2호점,대전 대덕구 오정로 125-0,전문음식,491
300,또랑,대전 대덕구 계족로 550-0,한식,491
302,블루부코,대전 동구 동광장로 16-0,카페/찻집,489
303,강길도낙지마을,대전 대덕구 선비마을로 9-0,전문음식,487
303,방일해장국,대전 동구 옥천로 56-0,한식,487
305,샤브쌈주머니가오점,대전 동구 대전로 431-0,전문음식,486
306,어두리,대전 중구 계룡로882번길 108-0,한식,482
307,청원농장,대전 중구 사정공원로 209-0,한식,479
308,이화수전통육개장신일점,대전 대덕구 신일동로 1-0,한식,478
309,지안,대전 동구 대전로 592-17,전문음식,472
310,안영한우마을,대전 중구 대둔산로 166-0,한식,467
311,구들마루오정점,대전 대덕구 대전로 1009-0,한식,460
311,신도칼국수중촌점,대전 중구 대전천서로 679-1,한식,460
313,인동왕만두,대전 동구 대전로 697-0,한식,456
314,신선칼국수,대전 동구 계족로 188-0,한식,455
315,금강옥천올갱이,대전 대덕구 동춘당로15번길 90-0,한식,453
316,삼삼카페,대전 대덕구 대청호수로 1875-0,카페/찻집,450
317,카페타임,대전 동구 동서대로 1717-0,카페/찻집,448
318,소도둑대전송촌점,대전 대덕구 송촌북로4번길 49-0,한식,447
319,어굼터용전점,대전 동구 동서대로1653번길 13-0,한식,445
320,투웨이버거목동직영점,대전 중구 동서대로1365번길 6-0,간이음식,444
321,슈니첼,대전 동구 철갑2길 16-0,전문음식,440
321,첨사취이,대전 대덕구 송촌북로 48-0,외국식,440
323,볕,대전 동구 수향2길 7-0,카페/찻집,437
324,남다른감자탕대전본점,대전 중구 계백로 1601-0,한식,434
325,월산본가송촌점,대전 대덕구 계족산로81번길 87-0,한식,433
326,짬뽕지존복합터미널점 [중식],대전 동구 동서대로 1682-0,외국식,432
327,11시들쌈밥신탄진본점,대전 대덕구 대청로 9-0,한식,430
328,겐로쿠우동서대전점,대전 중구 계룡로918번길 24-0,외국식,428
329,솔코리안레스토랑,대전 동구 우암로 128-0,전문음식,425
330,동은성[중식],대전 중구 대종로 532-1,외국식,424
331,샤브마니아가오점,대전 동구 대전로 400-0,전문음식,423
332,크래버대게나라서대전점,대전 중구 계룡로 875-0,전문음식,418
333,한희수개성만두,대전 동구 한밭대로 1221-0,한식,417
333,선코다리냉면서대전점,대전 중구 대흥로 22-0,한식,417
335,샤브쌈주머니오정점,대전 대덕구 한밭대로 1048-0,전문음식,416
336,파운드,대전 동구 수향길 25-0,외국식,415
337,메밀고개시골막국수판암직영점,대전 동구 판교3길 3-0,한식,414
338,평양숨두부집,대전 동구 대전로 381-0,한식,404
339,황제명태본가,대전 중구 계백로 1556-0,한식,400
340,현대식당,대전 중구 중앙로130번길 37-10,한식,398
341,방일해장국신탄진점,대전 대덕구 대덕대로1448번길 3-0,한식,395
342,정동문화사,대전 동구 태전로 22-0,카페/찻집,394
343,영화반점[중식],대전 대덕구 신탄진동로23번길 46-0,외국식,393
344,황제장어나라유천점,대전 중구 유천로 90-0,전문음식,392
345,오시우커피,대전 중구 목척8길 37-0,카페/찻집,391
346,조마루감자탕충청지사점,대전 동구 동서대로 1618-0,한식,390
346,대전옥,대전 동구 대동천우안4길 74-0,한식,390
348,청석골칡냉면,대전 중구 보문산로141번길 39-0,한식,388
348,팡시온,대전 동구 회남로275번길 227-0,외국식,388
350,천개동농장,대전 동구 천개동로251번길 12-51,전문음식,383
351,서울치킨,대전 중구 중앙로112번길 34-0,간이음식,376
351,목동칼국수목동점,대전 중구 목중로19번길 76-0,한식,376
351,큰뫼골,대전 동구 대청호수로 723-5,한식,376
354,일오삼수제돈까스,대전 동구 석천로 39-18,전문음식,375
354,경동오징어국수,대전 동구 계족로 369-0,한식,375
356,양평칼국수,대전 대덕구 중리남로28번길 1-0,한식,373
356,부여순대,대전 동구 동부로 5-3,한식,373
358,비래옥,대전 중구 중앙로129번길 22-0,한식,371
359,신도칼국수본점,대전 동구 대전로825번길 11-0,한식,370
359,대전한우명가,대전 동구 비래서로 74-0,한식,370
361,풍전삼계탕,대전 중구 계백로 1620-0,한식,369
362,샤브마니아태평점,대전 중구 계백로1565번길 11-0,전문음식,364
363,풍뉴가,대전 동구 수향길 31-0,카페/찻집,362
364,알로하녹,대전 중구 대종로521번길 29-0,카페/찻집,356
365,미강손짜장[중식],대전 대덕구 덕암로181번길 19-0,외국식,355
366,황기왕짬뽕[중식],대전 대덕구 중리북로37번길 65-0,외국식,353
367,예가촌,대전 중구 계룡로 932-1,한식,351
368,제주오목돈,대전 중구 계룡로874번길 97-0,한식,347
368,장승마을,대전 대덕구 신탄진동로24번길 24-0,전문음식,347
368,판암면옥,대전 동구 옻밭5길 189-0,한식,347
371,대청골순대국밥,대전 대덕구 대청로 10-0,한식,346
372,김화칼국수,대전 동구 중앙로203번길 28-0,한식,342
373,비범,대전 동구 수향길 99-0,한식,341
374,팀쿡가오점,대전 동구 동구청로 66-0,전문음식,331
375,송촌먹자골목,대전 대덕구,음식점기타,327
376,황제장어나라송촌점,대전 대덕구 계족산로81번길 95-0,전문음식,325
377,복수한우날고기,대전 대덕구 계족산로36번길 33-0,한식,324
378,가마솥해장국,대전 대덕구 산업단지로87번길 13-0,한식,320
379,은혜식당,대전 대덕구 한밭대로1159번길 11-0,한식,318
380,몽심,대전 대덕구 한남로38번길 28-0,간이음식,316
381,을축,대전 대덕구 신탄진동로23번길 81-0,간이음식,305
382,가마솥팔팔통닭,대전 대덕구 송촌북로20번길 14-0,간이음식,304
383,망골고개식당,대전 대덕구 석봉로3번길 41-0,한식,281
384,오리사랑,대전 대덕구 계족산로81번길 39-0,전문음식,273
385,강가에서,대전 대덕구 대청로 429-0,전문음식,265
386,이성수왕짬뽕순두부1호점,대전 대덕구 비래서로 25-0,한식,259
387,어가아구찜,대전 대덕구 중리동로 17-0,한식,255
